order_id,items_id,is_added
1,421,1
1,428,1
2,405,1
3,2261,1
3,2279,1
4,602,1
4,613,1
5,1843,1
5,1851,1
6,1061,1
7,625,1
7,630,1
7,633,1
8,2305,1
9,424,1
9,428,1
9,437,1
10,1821,1
11,2061,1
11,2067,1
11,2080,1
12,1365,1
12,1367,1
12,1378,1
13,124,1
14,2284,1
14,2286,1
14,2296,1
15,1342,1
15,1356,1
16,2142,1
17,804,1
18,802,1
19,865,1
19,870,1
20,725,1
20,730,1
21,2265,1
21,2267,1
22,2103,1
22,2115,1
23,862,1
23,869,1
23,878,1
24,661,1
24,671,1
25,1084,1
26,2084,1
26,2086,1
27,1405,1
27,1409,1
28,5,1
28,20,1
29,845,1
30,342,1
30,350,1
31,663,1
31,667,1
31,673,1
32,1804,1
32,1817,1
33,1203,1
33,1210,1
34,1504,1
35,1304,1
35,1315,1
35,1317,1
36,2264,1
37,541,1
38,1062,1
38,1070,1
39,1201,1
39,1206,1
39,1212,1
39,1218,1
40,1824,1
40,1827,1
41,241,1
42,2124,1
42,2140,1
43,505,1
44,1003,1
44,1012,1
45,865,1
45,868,1
46,1382,1
47,45,1
47,46,1
48,1883,1
48,1886,1
48,1891,1
48,1900,1
49,2261,1
49,2266,1
50,225,1
50,226,1
50,231,1
51,1624,1
51,1635,1
52,1925,1
53,2382,1
54,2323,1
54,2339,1
55,321,1
56,1622,1
56,1629,1
57,1984,1
58,1882,1
58,1899,1
59,1205,1
59,1208,1
59,1218,1
60,865,1
60,880,1
61,682,1
61,697,1
62,2064,1
62,2066,1
63,2124,1
63,2130,1
64,1603,1
65,203,1
65,207,1
65,213,1
66,103,1
66,112,1
67,1183,1
67,1190,1
67,1192,1
68,702,1
68,715,1
69,844,1
69,859,1
70,1085,1
70,1087,1
71,1201,1
72,604,1
73,44,1
74,965,1
74,972,1
75,724,1
75,736,1
76,361,1
76,369,1
76,380,1
77,163,1
78,861,1
78,872,1
79,1702,1
80,205,1
80,214,1
80,220,1
81,981,1
81,989,1
81,999,1
82,2221,1
82,2234,1
83,1723,1
83,1736,1
84,1061,1
84,1074,1
85,1064,1
85,1068,1
86,1924,1
87,203,1
87,208,1
87,214,1
87,216,1
88,2102,1
89,1424,1
90,465,1
91,1845,1
91,1855,1
92,1283,1
93,265,1
93,271,1
94,885,1
94,886,1
95,983,1
95,989,1
96,2024,1
96,2027,1
96,2040,1
97,23,1
97,30,1
97,32,1
97,37,1
98,343,1
99,2364,1
100,1265,1
100,1267,1
101,1721,1
101,1729,1
102,1304,1
102,1308,1
103,861,1
103,866,1
104,1782,1
104,1789,1
104,1799,1
105,1184,1
105,1188,1
105,1192,1
106,2123,1
106,2135,1
107,1181,1
107,1187,1
108,1364,1
108,1372,1
109,2282,1
109,2295,1
110,862,1
110,869,1
110,871,1
111,1762,1
111,1766,1
111,1778,1
112,963,1
112,966,1
112,973,1
113,725,1
113,733,1
114,1243,1
114,1252,1
115,1141,1
116,384,1
117,1424,1
118,245,1
118,255,1
119,2144,1
119,2150,1
119,2156,1
120,782,1
120,790,1
121,983,1
121,989,1
122,1325,1
122,1328,1
123,1661,1
124,1965,1
124,1969,1
124,1973,1
124,1978,1
125,523,1
126,1744,1
126,1749,1
127,1224,1
128,1805,1
128,1811,1
129,2065,1
129,2067,1
130,722,1
130,735,1
131,963,1
132,2021,1
132,2032,1
133,2101,1
