order_id,user_id,rest_id,order_time,weekday,weekend_flag
1,1088.0,22,2024-01-23 08:00:00,1,0
2,2962.0,21,2024-02-17 12:00:00,5,1
3,2387.0,114,2024-04-09 22:00:00,1,0
4,2196.0,31,2024-06-03 18:00:00,0,0
5,651.0,93,2024-01-30 05:00:00,1,0
6,1632.0,54,2024-06-22 12:00:00,5,1
7,373.0,32,2024-04-07 18:00:00,6,1
8,58.0,116,2024-05-07 16:00:00,1,0
9,505.0,22,2024-04-15 15:00:00,0,0
10,429.0,92,2024-06-04 08:00:00,1,0
11,276.0,104,2024-05-23 14:00:00,3,0
12,1321.0,69,2024-01-20 19:00:00,5,1
13,1722.0,7,2024-03-17 03:00:00,6,1
14,102.0,115,2024-06-21 08:00:00,4,0
15,1016.0,68,2024-05-26 21:00:00,6,1
16,2234.0,108,2024-02-05 10:00:00,0,0
17,1387.0,41,2024-04-10 00:00:00,2,0
18,753.0,41,2024-03-15 13:00:00,4,0
19,562.0,44,2024-06-24 23:00:00,0,0
20,1196.0,37,2024-05-31 22:00:00,4,0
21,1904.0,114,2024-04-17 22:00:00,2,0
22,2447.0,106,2024-05-05 08:00:00,6,1
23,616.0,44,2024-05-30 04:00:00,3,0
24,1536.0,34,2024-06-28 20:00:00,4,0
25,425.0,55,2024-02-02 11:00:00,4,0
26,2557.0,105,2024-06-01 12:00:00,5,1
27,1851.0,71,2024-02-23 20:00:00,4,0
28,2952.0,1,2024-06-20 04:00:00,3,0
29,2483.0,43,2024-03-12 10:00:00,1,0
30,2621.0,18,2024-02-19 17:00:00,0,0
31,498.0,34,2024-03-16 13:00:00,5,1
32,1308.0,91,2024-04-11 02:00:00,3,0
33,1552.0,61,2024-02-22 16:00:00,3,0
34,2416.0,76,2024-01-15 06:00:00,0,0
35,952.0,66,2024-06-02 04:00:00,6,1
36,2183.0,114,2024-04-25 06:00:00,3,0
37,2045.0,28,2024-02-08 07:00:00,3,0
38,1717.0,54,2024-01-06 09:00:00,5,1
39,439.0,61,2024-01-26 21:00:00,4,0
40,2471.0,92,2024-01-30 16:00:00,1,0
41,1270.0,13,2024-03-19 05:00:00,1,0
42,882.0,107,2024-02-09 05:00:00,4,0
43,2887.0,26,2024-06-03 08:00:00,0,0
44,1913.0,51,2024-03-31 03:00:00,6,1
45,1531.0,44,2024-03-26 07:00:00,1,0
46,75.0,70,2024-01-15 05:00:00,0,0
47,2715.0,3,2024-03-04 08:00:00,0,0
48,787.0,95,2024-03-25 10:00:00,0,0
49,1346.0,114,2024-06-07 17:00:00,4,0
50,798.0,12,2024-04-20 22:00:00,5,1
51,2811.0,82,2024-02-24 06:00:00,5,1
52,1944.0,97,2024-01-14 02:00:00,6,1
53,2735.0,120,2024-05-31 14:00:00,4,0
54,2926.0,117,2024-04-29 18:00:00,0,0
55,2270.0,17,2024-06-21 15:00:00,4,0
56,389.0,82,2024-04-07 07:00:00,6,1
57,304.0,100,2024-04-24 00:00:00,2,0
58,257.0,95,2024-01-06 18:00:00,5,1
59,2869.0,61,2024-02-08 00:00:00,3,0
60,2170.0,44,2024-05-28 20:00:00,1,0
61,588.0,35,2024-02-15 12:00:00,3,0
62,627.0,104,2024-05-13 22:00:00,0,0
63,1992.0,107,2024-06-23 23:00:00,6,1
64,627.0,81,2024-02-08 08:00:00,3,0
65,1142.0,11,2024-02-13 15:00:00,1,0
66,42.0,6,2024-01-21 15:00:00,6,1
67,2633.0,60,2024-05-22 01:00:00,2,0
68,174.0,36,2024-06-02 03:00:00,6,1
69,2528.0,43,2024-03-27 15:00:00,2,0
70,2117.0,55,2024-04-09 21:00:00,1,0
71,986.0,61,2024-02-18 15:00:00,6,1
72,253.0,31,2024-04-30 06:00:00,1,0
73,2508.0,3,2024-01-22 04:00:00,0,0
74,2616.0,49,2024-05-29 09:00:00,2,0
75,2453.0,37,2024-05-18 20:00:00,5,1
76,1807.0,19,2024-04-05 08:00:00,4,0
77,1846.0,9,2024-03-18 06:00:00,0,0
78,2026.0,44,2024-04-05 13:00:00,4,0
79,658.0,86,2024-05-06 11:00:00,0,0
80,2239.0,11,2024-04-23 10:00:00,1,0
81,1144.0,50,2024-04-20 00:00:00,5,1
82,1238.0,112,2024-04-14 22:00:00,6,1
83,1374.0,87,2024-02-20 19:00:00,1,0
84,618.0,54,2024-05-10 06:00:00,4,0
85,2930.0,54,2024-04-30 21:00:00,1,0
86,2443.0,97,2024-05-03 20:00:00,4,0
87,2832.0,11,2024-02-03 23:00:00,5,1
88,1533.0,106,2024-04-10 17:00:00,2,0
89,2061.0,72,2024-04-01 16:00:00,0,0
90,512.0,24,2024-02-28 01:00:00,2,0
91,1018.0,93,2024-05-25 20:00:00,5,1
92,2738.0,65,2024-02-02 15:00:00,4,0
93,647.0,14,2024-06-20 08:00:00,3,0
